date,sex,race,age,city,suspicion,action
2014-01-09,male,white,58,South Boston,Reasonable Suspicion,stopped
2014-01-10,male,black,23,Roxbury,Reasonable Suspicion,stopped
2014-01-10,male,asian,25,Dorchester,Probable Cause,stopped
2014-01-10,male,black,22,Roxbury,Probable Cause,stopped
2014-01-10,male,white,23,Jamaica Plain,Probable Cause,stopped
2014-01-10,female,white,35,East Boston,Probable Cause,stopped
2014-01-10,male,white,59,East Boston,Probable Cause,stopped
2014-01-11,male,white,32,Hyde Park,Probable Cause,stopped
2014-01-11,male,black,27,Dorchester,Probable Cause,stopped
2014-01-11,male,black,45,Dorchester,Reasonable Suspicion,stopped
2014-01-11,male,hispanic,35,Roxbury,Reasonable Suspicion,stopped
2014-01-12,male,black,21,Dorchester,Probable Cause,stopped
2014-01-12,male,black,24,Dorchester,Probable Cause,stopped
2014-01-12,male,asian,26,Brighton,Reasonable Suspicion,stopped
2014-01-12,male,black,29,Dorchester,Probable Cause,stopped
2014-01-13,male,white,36,East Boston,Probable Cause,stopped
2014-01-13,male,black,32,Boston,Probable Cause,observed
2014-01-13,female,white,23,Roslindale,Probable Cause,stopped
2014-01-13,male,black,22,Roxbury,Probable Cause,stopped
2014-01-13,female,white,27,Roslindale,Probable Cause,stopped
2014-01-13,female,white,46,East Boston,Reasonable Suspicion,stopped
2014-01-14,male,black,25,Boston,Probable Cause,stopped
2014-01-14,male,black,24,Jamaica Plain,Probable Cause,stopped
2014-01-14,male,white,53,South Boston,Consented to be Search,stopped
2014-01-14,male,white,35,South Boston,Reasonable Suspicion,observed
2014-01-14,female,white,37,Charlestown,Probable Cause,stopped
2014-01-14,male,white,20,Jamaica Plain,Probable Cause,stopped
2014-01-14,female,black,26,Mattapan,Probable Cause,stopped
2014-01-14,male,black,21,Dorchester,Probable Cause,stopped
2014-01-14,male,black,25,Mattapan,Probable Cause,stopped
2014-01-14,male,black,24,Mattapan,Probable Cause,stopped
2014-01-15,male,black,25,Hyde Park,Probable Cause,stopped
2014-01-15,male,white,41,Charlestown,Probable Cause,stopped
2014-01-16,male,white,22,Boston,Probable Cause,stopped
2014-01-16,female,black,32,Roxbury,Probable Cause,stopped
2014-01-16,male,black,20,Boston,Probable Cause,stopped
2014-01-16,male,middle eastern,41,Boston,Probable Cause,stopped
2014-01-16,male,hispanic,22,South Boston,Probable Cause,stopped
2014-01-17,male,white,29,Boston,Consented to be Search,observed
2014-01-17,male,white,29,Boston,Consented to be Search,observed
2014-01-17,male,white,29,Boston,Consented to be Search,observed
2014-01-17,male,hispanic,17,Mattapan,Probable Cause,stopped
2014-01-17,male,white,29,Boston,Consented to be Search,observed
2014-01-17,male,white,29,Boston,Consented to be Search,observed
2014-01-17,male,white,29,Boston,Consented to be Search,observed
2014-01-17,male,white,29,Boston,Consented to be Search,observed
2014-01-17,male,white,29,Boston,Consented to be Search,observed
2014-01-17,male,white,29,Boston,Consented to be Search,observed
2014-01-17,male,hispanic,36,Roxbury,Reasonable Suspicion,observed
2014-01-17,male,hispanic,14,East Boston,Probable Cause,observed
2014-01-17,male,white,29,Boston,Consented to be Search,observed
2014-01-17,male,middle eastern,19,East Boston,Probable Cause,stopped
2014-01-17,male,hispanic,19,East Boston,Probable Cause,stopped
2014-01-17,male,black,25,Boston,Probable Cause,stopped
2014-01-17,male,white,29,Boston,Consented to be Search,observed
2014-01-17,male,white,18,Charlestown,Probable Cause,stopped
2014-01-17,male,white,19,Charlestown,Probable Cause,stopped
2014-01-17,male,white,29,Boston,Consented to be Search,observed
2014-01-17,male,white,29,Boston,Consented to be Search,observed
2014-01-17,male,white,29,Boston,Consented to be Search,observed
2014-01-17,male,white,29,Boston,Consented to be Search,observed
2014-01-17,male,black,19,Mattapan,Probable Cause,stopped
2014-01-18,male,white,44,Boston,Reasonable Suspicion,stopped
2014-01-18,male,hispanic,24,Hyde Park,Probable Cause,stopped
2014-01-18,male,white,29,Charlestown,Reasonable Suspicion,stopped
2014-01-18,male,black,22,Dorchester,Probable Cause,stopped
2014-01-18,male,white,40,Boston,Probable Cause,stopped
2014-01-18,male,white,28,South Boston,Consented to be Search,stopped
2014-01-18,male,black,26,Roxbury,Probable Cause,stopped
2014-01-18,female,black,21,Hyde Park,Consented to be Search,observed
2014-01-18,male,black,22,Hyde Park,Probable Cause,stopped
2014-01-19,male,black,32,Dorchester,Probable Cause,stopped
2014-01-19,male,black,29,East Boston,Probable Cause,stopped
2014-01-19,male,white,32,Boston,Probable Cause,stopped
2014-01-19,male,black,35,Dorchester,Probable Cause,stopped
2014-01-19,male,black,56,Mattapan,Probable Cause,stopped
2014-01-19,male,black,18,Mattapan,Reasonable Suspicion,stopped
2014-01-19,male,black,19,Roxbury,Reasonable Suspicion,stopped
2014-01-19,male,black,15,Hyde Park,Reasonable Suspicion,stopped
2014-01-20,male,black,24,Hyde Park,Reasonable Suspicion,observed
2014-01-20,male,white,27,Roslindale,Probable Cause,stopped
2014-01-20,male,white,21,Roxbury,Probable Cause,stopped
2014-01-20,male,black,43,Roxbury,Reasonable Suspicion,stopped
2014-01-20,male,white,19,Roxbury,Probable Cause,stopped
2014-01-20,male,black,29,Roxbury,Probable Cause,stopped
2014-01-20,male,black,28,Boston,Probable Cause,stopped
2014-01-20,male,hispanic,31,Boston,Probable Cause,stopped
2014-01-22,male,white,38,South Boston,Reasonable Suspicion,stopped
2014-01-22,male,black,23,Dorchester,Probable Cause,stopped
2014-01-22,male,black,44,Dorchester,Probable Cause,stopped
2014-01-22,male,black,24,Dorchester,Probable Cause,stopped
2014-01-23,male,hispanic,48,Dorchester,Reasonable Suspicion,observed
2014-01-23,male,black,22,Dorchester,Reasonable Suspicion,observed
2014-01-23,male,hispanic,41,Dorchester,Reasonable Suspicion,observed
2014-01-23,male,black,24,Dorchester,Probable Cause,stopped
2014-01-23,male,black,46,Boston,Reasonable Suspicion,stopped
2014-01-23,male,hispanic,41,Dorchester,Reasonable Suspicion,observed
2014-01-24,male,black,26,Boston,Probable Cause,stopped
2014-01-24,male,black,54,Mattapan,Probable Cause,stopped
2014-01-24,male,black,24,Hyde Park,Reasonable Suspicion,stopped
2014-01-24,male,black,22,East Boston,Probable Cause,stopped
2014-01-24,male,black,22,Dorchester,Reasonable Suspicion,stopped
2014-01-24,male,black,18,Roxbury,Probable Cause,stopped
2014-01-25,male,white,19,Roslindale,Probable Cause,stopped
2014-01-25,male,white,34,South Boston,Consented to be Search,stopped
2014-01-25,male,black,31,Roxbury,Probable Cause,stopped
2014-01-25,male,hispanic,46,Dorchester,Probable Cause,stopped
2014-01-25,female,black,24,Boston,Reasonable Suspicion,stopped
2014-01-25,male,black,24,Roxbury,Reasonable Suspicion,observed
2014-01-25,male,hispanic,23,Roxbury,Probable Cause,stopped
2014-01-26,male,black,25,Roxbury,Reasonable Suspicion,stopped
2014-01-26,male,white,50,South Boston,Consented to be Search,stopped
2014-01-26,female,black,23,Roxbury,Probable Cause,stopped
2014-01-26,male,black,28,Dorchester,Probable Cause,stopped
2014-01-26,male,black,18,Roxbury,Probable Cause,stopped
2014-01-26,male,black,27,Boston,Probable Cause,stopped
2014-01-26,male,black,25,Roxbury,Probable Cause,stopped
2014-01-26,male,black,22,Charlestown,Consented to be Search,stopped
2014-01-26,male,hispanic,26,Roxbury,Probable Cause,stopped
2014-01-26,male,white,30,Dorchester,Reasonable Suspicion,stopped
2014-01-26,male,black,25,Dorchester,Probable Cause,stopped
2014-01-26,male,black,18,Roxbury,Reasonable Suspicion,stopped
2014-01-26,female,black,23,Roxbury,Probable Cause,stopped
2014-01-27,male,middle eastern,19,Dorchester,Reasonable Suspicion,stopped
2014-01-27,male,black,23,Boston,Probable Cause,stopped
2014-01-27,male,black,18,Roxbury,Reasonable Suspicion,stopped
2014-01-27,female,black,35,Dorchester,Probable Cause,stopped
2014-01-27,male,hispanic,25,Jamaica Plain,Consented to be Search,stopped
2014-01-27,male,white,29,Charlestown,Consented to be Search,stopped
2014-01-27,male,black,24,Dorchester,Probable Cause,observed
2014-01-27,male,black,23,Dorchester,Probable Cause,stopped
2014-01-27,male,black,19,Hyde Park,Probable Cause,stopped
2014-01-27,male,black,19,Dorchester,Probable Cause,stopped
2014-01-27,female,black,33,Boston,Probable Cause,stopped
2014-01-28,male,black,24,Dorchester,Probable Cause,stopped
2014-01-28,male,black,27,Roslindale,Probable Cause,stopped
2014-01-28,male,black,40,Roxbury,Probable Cause,stopped
2014-01-28,female,black,27,Roxbury,Probable Cause,stopped
2014-01-28,male,hispanic,22,Roxbury,Probable Cause,stopped
2014-01-28,male,black,20,Dorchester,Consented to be Search,stopped
2014-01-29,male,black,24,Mattapan,Probable Cause,stopped
2014-01-29,male,black,24,Dorchester,Probable Cause,stopped
2014-01-29,male,black,16,Jamaica Plain,Probable Cause,stopped
2014-01-29,male,white,33,Boston,Probable Cause,stopped
2014-01-29,male,black,26,Roxbury,Probable Cause,stopped
2014-01-29,male,black,27,Roxbury,Consented to be Search,stopped
2014-01-29,male,white,67,East Boston,Probable Cause,stopped
2014-01-30,male,white,34,Dorchester,Probable Cause,stopped
2014-01-30,male,white,48,Boston,Probable Cause,observed
2014-01-30,male,white,52,South Boston,Reasonable Suspicion,stopped
2014-01-30,female,black,26,Charlestown,Probable Cause,stopped
2014-01-30,male,black,36,Dorchester,Reasonable Suspicion,stopped
2014-01-30,male,white,30,Boston,Reasonable Suspicion,stopped
2014-01-30,male,black,51,Boston,Reasonable Suspicion,stopped
2014-01-30,female,asian,15,Boston,Probable Cause,observed
2014-01-30,male,black,20,South Boston,Probable Cause,stopped
2014-01-30,male,white,54,South Boston,Reasonable Suspicion,stopped
2014-01-30,female,white,38,Dorchester,Probable Cause,stopped
2014-01-30,male,black,21,Mattapan,Probable Cause,observed
2014-01-31,male,white,50,Boston,Probable Cause,stopped
2014-01-31,male,black,21,Dorchester,Reasonable Suspicion,stopped
2014-01-31,male,black,26,Boston,Probable Cause,stopped
2014-01-31,male,black,38,Boston,Probable Cause,stopped
2014-01-31,male,black,64,Roxbury,Probable Cause,stopped
2014-01-31,male,black,20,Mattapan,Probable Cause,stopped
2014-01-31,male,white,51,Boston,Reasonable Suspicion,observed
2014-01-31,male,black,51,Hyde Park,Probable Cause,stopped
2014-01-31,male,black,32,Boston,Probable Cause,observed
2014-02-01,female,white,42,Jamaica Plain,Reasonable Suspicion,observed
2014-02-01,male,white,19,South Boston,Reasonable Suspicion,stopped
2014-02-01,male,black,26,Dorchester,Probable Cause,stopped
2014-02-01,male,white,31,Boston,Probable Cause,stopped
2014-02-01,male,white,31,East Boston,Probable Cause,observed
2014-02-01,male,black,32,Dorchester,Probable Cause,stopped
2014-02-01,male,black,21,Dorchester,Probable Cause,observed
2014-02-01,male,black,19,Mattapan,Probable Cause,stopped
2014-02-01,female,black,32,Boston,Probable Cause,stopped
2014-02-01,male,hispanic,37,Roxbury,Probable Cause,stopped
2014-02-01,male,white,27,Boston,Probable Cause,stopped
2014-02-01,male,white,57,Boston,Probable Cause,stopped
2014-02-01,male,white,49,Boston,Probable Cause,stopped
2014-02-01,female,white,16,South Boston,Reasonable Suspicion,stopped
2014-02-01,female,white,15,South Boston,Reasonable Suspicion,stopped
2014-02-02,male,hispanic,18,Jamaica Plain,Probable Cause,stopped
2014-02-02,male,black,18,Dorchester,Probable Cause,stopped
2014-02-02,male,black,48,Boston,Reasonable Suspicion,stopped
2014-02-02,male,white,27,North End,Probable Cause,stopped
2014-02-03,male,black,38,Dorchester,Consented to be Search,observed
2014-02-03,male,hispanic,21,East Boston,Consented to be Search,stopped
2014-02-03,male,black,23,Boston,Reasonable Suspicion,stopped
2014-02-03,female,hispanic,33,Mattapan,Consented to be Search,stopped
2014-02-03,female,black,57,Dorchester,Probable Cause,stopped
2014-02-03,male,black,46,South Boston,Probable Cause,stopped
2014-02-03,male,black,33,Hyde Park,Reasonable Suspicion,stopped
2014-02-04,male,white,39,Boston,Reasonable Suspicion,stopped
2014-02-04,female,black,43,Boston,Reasonable Suspicion,observed
2014-02-04,female,black,31,Boston,Reasonable Suspicion,observed
2014-02-04,male,black,27,Boston,Probable Cause,stopped
2014-02-04,male,hispanic,43,Boston,Probable Cause,stopped
2014-02-04,male,white,47,Boston,Probable Cause,stopped
2014-02-04,male,white,49,Boston,Probable Cause,observed
2014-02-04,male,black,25,Dorchester,Reasonable Suspicion,stopped
2014-02-05,male,black,47,Boston,Probable Cause,stopped
2014-02-05,male,black,47,Boston,Probable Cause,stopped
2014-02-05,male,white,45,Charlestown,Probable Cause,observed
2014-02-06,male,black,24,Roxbury,Probable Cause,observed
2014-02-06,male,black,22,Dorchester,Probable Cause,stopped
2014-02-06,male,black,28,Hyde Park,Probable Cause,stopped
2014-02-06,male,black,22,Boston,Consented to be Search,stopped
2014-02-06,male,black,22,Boston,Consented to be Search,stopped
2014-02-06,male,hispanic,44,Boston,Probable Cause,stopped
2014-02-06,female,black,29,Dorchester,Probable Cause,observed
2014-02-06,male,black,23,Roxbury,Probable Cause,observed
2014-02-06,male,black,26,Roxbury,Probable Cause,observed
2014-02-06,male,black,19,Roslindale,Probable Cause,observed
2014-02-06,male,hispanic,28,Roslindale,Probable Cause,stopped
2014-02-06,male,white,46,Boston,Probable Cause,stopped
2014-02-06,male,hispanic,21,Roxbury,Probable Cause,stopped
2014-02-07,male,white,17,Charlestown,Reasonable Suspicion,observed
2014-02-07,male,black,25,Roxbury,Probable Cause,stopped
2014-02-07,male,hispanic,20,East Boston,Reasonable Suspicion,stopped
2014-02-07,male,white,34,Boston,Probable Cause,stopped
2014-02-07,male,white,34,Boston,Reasonable Suspicion,stopped
2014-02-07,male,white,19,Charlestown,Probable Cause,observed
2014-02-07,male,black,49,Dorchester,Probable Cause,stopped
2014-02-07,male,black,63,Brighton,Reasonable Suspicion,stopped
2014-02-07,male,white,17,Charlestown,Probable Cause,observed
2014-02-07,male,white,55,Charlestown,Probable Cause,stopped
2014-02-07,male,black,22,Dorchester,Probable Cause,stopped
2014-02-07,male,black,32,Roxbury,Probable Cause,stopped
2014-02-08,male,black,48,Dorchester,Probable Cause,stopped
2014-02-08,male,black,19,Dorchester,Reasonable Suspicion,stopped
2014-02-08,male,black,24,Dorchester,Probable Cause,stopped
2014-02-08,female,hispanic,28,Boston,Reasonable Suspicion,observed
2014-02-08,female,hispanic,35,Dorchester,Probable Cause,stopped
2014-02-08,male,black,23,Hyde Park,Probable Cause,stopped
2014-02-08,male,white,26,Dorchester,Probable Cause,stopped
2014-02-08,male,black,26,Boston,Probable Cause,stopped
2014-02-08,male,white,52,South End,Probable Cause,stopped
2014-02-08,male,black,28,Boston,Probable Cause,stopped
2014-02-08,male,black,24,Mattapan,Probable Cause,stopped
2014-02-08,female,black,30,Dorchester,Probable Cause,stopped
2014-02-08,male,black,22,Hyde Park,Reasonable Suspicion,stopped
2014-02-08,male,white,32,Jamaica Plain,Reasonable Suspicion,stopped
2014-02-08,male,black,22,Dorchester,Probable Cause,stopped
2014-02-09,male,white,32,Dorchester,Consented to be Search,stopped
2014-02-09,male,black,32,Boston,Reasonable Suspicion,observed
2014-02-09,male,hispanic,23,East Boston,Reasonable Suspicion,stopped
2014-02-09,male,black,37,Dorchester,Probable Cause,stopped
2014-02-09,male,black,25,Dorchester,Probable Cause,observed
2014-02-09,male,hispanic,39,Boston,Reasonable Suspicion,observed
2014-02-09,male,white,22,North End,Probable Cause,stopped
2014-02-09,male,white,22,North End,Probable Cause,stopped
2014-02-09,male,black,26,Hyde Park,Probable Cause,stopped
2014-02-09,male,hispanic,23,East Boston,Reasonable Suspicion,stopped
2014-02-10,male,black,37,South Boston,Probable Cause,stopped
2014-02-10,male,black,22,Dorchester,Consented to be Search,stopped
2014-02-10,male,hispanic,33,Boston,Probable Cause,stopped
2014-02-10,male,black,45,Boston,Probable Cause,stopped
2014-02-10,male,hispanic,19,Boston,Probable Cause,observed
2014-02-10,male,hispanic,36,Dorchester,Probable Cause,stopped
2014-02-10,male,black,21,Boston,Probable Cause,stopped
2014-02-10,male,white,30,Allston,Consented to be Search,stopped
2014-02-10,male,white,40,East Boston,Reasonable Suspicion,observed
2014-02-10,male,black,33,Boston,Probable Cause,stopped
2014-02-10,male,white,23,Hyde Park,Reasonable Suspicion,observed
2014-02-10,male,black,28,Dorchester,Probable Cause,stopped
2014-02-11,male,asian,20,Dorchester,Reasonable Suspicion,stopped
2014-02-11,male,white,30,Boston,Consented to be Search,stopped
2014-02-11,male,white,39,Boston,Probable Cause,stopped
2014-02-11,male,black,51,Boston,Probable Cause,stopped
2014-02-11,male,hispanic,28,Boston,Probable Cause,stopped
2014-02-11,male,black,32,Boston,Probable Cause,stopped
2014-02-12,male,black,17,Dorchester,Reasonable Suspicion,stopped
2014-02-12,male,white,50,Brighton,Probable Cause,stopped
2014-02-12,female,white,28,Dorchester,Reasonable Suspicion,stopped
2014-02-12,male,black,21,Boston,Probable Cause,observed
2014-02-12,male,white,31,Boston,Probable Cause,stopped
2014-02-12,male,black,52,Boston,Reasonable Suspicion,stopped
2014-02-12,male,black,56,Dorchester,Probable Cause,stopped
2014-02-12,male,white,34,Boston,Probable Cause,stopped
2014-02-13,male,white,27,Roxbury,Consented to be Search,stopped
2014-02-13,female,hispanic,43,South Boston,Reasonable Suspicion,stopped
2014-02-13,female,black,22,Roxbury,Reasonable Suspicion,stopped
2014-02-13,male,black,32,Brighton,Probable Cause,observed
2014-02-13,male,black,48,Dorchester,Probable Cause,stopped
2014-02-13,male,black,35,Boston,Reasonable Suspicion,stopped
2014-02-13,male,white,41,Charlestown,Probable Cause,stopped
2014-02-13,female,black,42,Boston,Probable Cause,stopped
2014-02-14,male,black,44,Roxbury,Probable Cause,stopped
2014-02-14,male,hispanic,33,Boston,Reasonable Suspicion,stopped
2014-02-14,male,black,23,Roxbury,Probable Cause,stopped
2014-02-14,female,black,32,Dorchester,Probable Cause,stopped
2014-02-14,male,middle eastern,21,Boston,Probable Cause,stopped
2014-02-14,male,white,43,Charlestown,Reasonable Suspicion,observed
2014-02-14,female,black,24,Dorchester,Consented to be Search,stopped
2014-02-14,female,white,36,Boston,Reasonable Suspicion,observed
2014-02-14,female,white,33,South Boston,Consented to be Search,stopped
2014-02-14,male,hispanic,44,Boston,Reasonable Suspicion,stopped
2014-02-15,male,black,30,Dorchester,Consented to be Search,stopped
2014-02-15,male,white,57,Charlestown,Probable Cause,stopped
2014-02-15,female,black,31,Dorchester,Probable Cause,stopped
2014-02-15,male,black,21,Dorchester,Probable Cause,stopped
2014-02-15,male,black,14,Dorchester,Probable Cause,stopped
2014-02-15,male,black,52,Boston,Probable Cause,stopped
2014-02-15,male,white,16,East Boston,Reasonable Suspicion,stopped
2014-02-15,female,white,28,Dorchester,Reasonable Suspicion,stopped
2014-02-15,male,white,45,Boston,Probable Cause,stopped
2014-02-15,male,white,33,Boston,Probable Cause,stopped
2014-02-16,male,black,22,Mattapan,Probable Cause,stopped
2014-02-16,male,black,38,Dorchester,Reasonable Suspicion,stopped
2014-02-16,male,black,22,Dorchester,Probable Cause,stopped
2014-02-16,male,black,29,Boston,Probable Cause,stopped
2014-02-16,male,black,26,Dorchester,Probable Cause,stopped
2014-02-16,male,hispanic,30,Brighton,Probable Cause,stopped
2014-02-16,male,black,24,Roxbury,Probable Cause,stopped
2014-02-16,female,black,30,Dorchester,Consented to be Search,stopped
2014-02-16,male,white,18,Dorchester,Probable Cause,stopped
2014-02-16,male,black,30,Dorchester,Probable Cause,stopped
2014-02-17,male,black,28,Dorchester,Reasonable Suspicion,stopped
2014-02-17,male,black,40,Roxbury,Reasonable Suspicion,stopped
2014-02-17,male,hispanic,30,Dorchester,Reasonable Suspicion,observed
2014-02-17,female,hispanic,26,Roxbury,Probable Cause,stopped
2014-02-17,male,black,26,Dorchester,Reasonable Suspicion,stopped
2014-02-17,male,black,28,Dorchester,Probable Cause,observed
2014-02-17,female,black,47,Dorchester,Probable Cause,stopped
2014-02-17,male,hispanic,42,East Boston,Consented to be Search,stopped
2014-02-17,male,white,27,Dorchester,Probable Cause,stopped
2014-02-17,male,black,43,Boston,Reasonable Suspicion,stopped
2014-02-17,female,white,54,Dorchester,Probable Cause,stopped
2014-02-17,male,black,25,Mattapan,Probable Cause,stopped
2014-02-17,male,black,33,Boston,Probable Cause,stopped
2014-02-17,male,black,22,Roslindale,Probable Cause,stopped
2014-02-17,male,black,22,Roslindale,Probable Cause,stopped
2014-02-17,male,hispanic,36,Dorchester,Probable Cause,stopped
2014-02-17,male,black,24,Dorchester,Probable Cause,stopped
2014-02-17,male,asian,38,Boston,Probable Cause,stopped
2014-02-18,male,black,30,Dorchester,Probable Cause,stopped
2014-02-18,female,white,23,Dorchester,Probable Cause,stopped
2014-02-18,male,white,25,Boston,Probable Cause,observed
2014-02-18,male,black,29,Boston,Probable Cause,stopped
2014-02-18,male,black,24,Mattapan,Probable Cause,stopped
2014-02-18,male,hispanic,28,East Boston,Reasonable Suspicion,observed
2014-02-18,male,black,28,Boston,Probable Cause,stopped
2014-02-19,male,hispanic,28,Boston,Probable Cause,stopped
2014-02-19,male,white,57,Boston,Reasonable Suspicion,stopped
2014-02-19,male,asian,22,Boston,Probable Cause,stopped
2014-02-19,male,white,24,Dorchester,Probable Cause,stopped
2014-02-19,male,hispanic,29,Boston,Consented to be Search,stopped
2014-02-19,male,hispanic,25,East Boston,Reasonable Suspicion,stopped
2014-02-19,male,hispanic,25,Roxbury,Probable Cause,stopped
2014-02-19,male,hispanic,27,East Boston,Reasonable Suspicion,stopped
2014-02-19,male,white,18,West Roxbury,Probable Cause,stopped
2014-02-19,male,hispanic,26,Dorchester,Probable Cause,stopped
2014-02-19,female,white,23,Boston,Probable Cause,stopped
2014-02-19,male,white,18,West Roxbury,Probable Cause,stopped
2014-02-20,male,black,23,Dorchester,Probable Cause,stopped
2014-02-20,male,white,52,Boston,Probable Cause,stopped
2014-02-20,male,white,24,Roxbury,Reasonable Suspicion,observed
2014-02-20,male,hispanic,16,East Boston,Probable Cause,stopped
2014-02-20,male,white,39,Boston,Probable Cause,observed
2014-02-21,female,white,20,Boston,Probable Cause,stopped
2014-02-21,male,black,27,Roxbury,Probable Cause,stopped
2014-02-21,male,hispanic,20,East Boston,Reasonable Suspicion,stopped
2014-02-21,male,white,23,East Boston,Reasonable Suspicion,stopped
2014-02-21,male,black,24,Roslindale,Probable Cause,stopped
2014-02-21,male,hispanic,19,Roslindale,Probable Cause,stopped
2014-02-21,male,white,22,Roslindale,Probable Cause,stopped
2014-02-21,male,hispanic,23,Roslindale,Probable Cause,observed
2014-02-21,male,black,20,Boston,Probable Cause,stopped
2014-02-21,male,white,24,Dorchester,Reasonable Suspicion,stopped
2014-02-21,male,black,47,Boston,Probable Cause,stopped
2014-02-21,male,black,17,Dorchester,Probable Cause,stopped
2014-02-21,male,black,35,Roxbury,Probable Cause,observed
2014-02-22,male,black,39,Boston,Probable Cause,stopped
2014-02-22,male,black,51,Jamaica Plain,Reasonable Suspicion,stopped
2014-02-22,female,black,22,Dorchester,Probable Cause,stopped
2014-02-22,male,white,28,Dorchester,Probable Cause,stopped
2014-02-22,female,black,35,Dorchester,Probable Cause,stopped
2014-02-22,male,hispanic,31,East Boston,Reasonable Suspicion,stopped
2014-02-22,male,hispanic,33,Jamaica Plain,Reasonable Suspicion,stopped
2014-02-22,male,black,38,Roxbury,Consented to be Search,observed
2014-02-22,male,white,60,Boston,Probable Cause,stopped
2014-02-22,male,white,55,Roxbury,Consented to be Search,observed
2014-02-22,male,black,21,Boston,Reasonable Suspicion,stopped
2014-02-22,male,black,28,Dorchester,Probable Cause,stopped
2014-02-22,male,white,51,Dorchester,Reasonable Suspicion,stopped
2014-02-22,male,hispanic,27,East Boston,Probable Cause,stopped
2014-02-23,male,black,22,Jamaica Plain,Probable Cause,stopped
2014-02-23,male,black,25,Dorchester,Probable Cause,stopped
2014-02-23,male,black,28,Mattapan,Consented to be Search,stopped
2014-02-23,male,black,36,Dorchester,Probable Cause,stopped
2014-02-23,male,hispanic,39,Boston,Probable Cause,stopped
2014-02-23,male,black,29,Roxbury,Probable Cause,stopped
2014-02-23,male,hispanic,21,Allston,Probable Cause,stopped
2014-02-23,male,white,42,East Boston,Consented to be Search,stopped
2014-02-23,female,white,29,South Boston,Probable Cause,stopped
2014-02-23,male,black,42,Dorchester,Probable Cause,stopped
2014-02-23,male,black,21,Boston,Probable Cause,observed
2014-02-24,male,white,37,South Boston,Probable Cause,stopped
