person_id,incident_id,date,sex,race,age,body,hair,complexion,origin,clothing
100007055,F150006862,10/6/15,Male,White,17,Small,Short,Medium,Not of Hispanic Origin,BLACK ZIP UP HOODIE JEANS SNEAKERS UNSHAVEN
100006823,F150006945,10/6/15,Male,White,51,Medium,Curly,Light Brown,,"BROWN JACKET, GRAY SWEAT PANTS"
100006899,F150007042,10/6/15,Male,Black,24,,,Medium,,"WHITE TSHIRT, BLK PANTS"
100006878,F150006937,10/6/15,Male,Black,24,Stocky,Braids,Medium,,"GRAY SWEAT PANTS, GREEN HOODED SWEATSHIRT."
100006901,F150007043,10/6/15,Male,Black,19,,,Medium,,"BLK HOODED SWEATSHIRT, DRK PANTS"
100017154,F160014947,10/6/15,Male,Black,22,,,Medium,,"GREY HOODIE, BLUE JEANS"
100017157,F160014952,10/6/15,Male,Black,19,,,Light,,"BLK HOODIE, BLUE JEANS"
100006903,F150007046,10/6/15,Male,White,15,,,Light,Hispanic Origin,"BLUE SWEATSHIRT, BLUE SWEATPANTS"
100006908,F150007051,10/6/15,Male,Black,16,,,Light,Hispanic Origin,"RED HOODIE HOLLISTER, BLUE JEANS, WHITE SNEAKERS"
100018359,F160015841,10/6/15,Male,Black,17,Thin,,Medium Brown,Not of Hispanic Origin,BLACK.WHITE.GRAY HOODIE; BROWN PANTS; BLACK.WHITE SNEAKERS
100009477,F150009294,10/6/15,Male,White,30,,,,,"BEARD, WHITE TSHIRT, GREY SWEATPANTS, SLIPPERS"
100006894,F150007034,10/6/15,Male,Black,14,,,,,"GREEN BROWN JACKET, BLUE JEANS"
100009473,F150009291,10/6/15,Male,Black,23,,,Light,,"LIGHT MUSTACHE, BLUE JEANS, GREY SWEATJACKET, GREEN SLEEVES"
100007325,F150007523,10/14/15,Male,White,43,Medium,Short,Light Brown,,"BLACK HOODIE, BLACK SHORTS, BLACK SNEAKERS"
100007323,F150007526,10/14/15,Male,Black,44,Medium,Short,Medium Brown,Unknown,"BLACK JACKET, BLUE JEANS, TAN SHOES"
100009166,F150008950,10/14/15,Male,Black,15,Medium,Short,Medium,,"BLK CAP, BLK LONG SLEEVE SHIRT, BLK/GRY/WHT CAMOFLAUGE PANTS"
100009167,F150008950,10/14/15,Male,Black,33,Medium,Bald,Dark Brown,,"BLK SHIRT, BLK JEANS"
100009168,F150008950,10/14/15,Male,Black,22,Medium,Short,Medium,Not of Hispanic Origin,"GOATEE, BLK SHIRT, BLUE JEANS"
100009169,F150008950,10/14/15,Male,Black,25,Small,Short,Medium,Not of Hispanic Origin,"BLK ""LA' CAP, BLK SHIRT, ORANGE POLO, BLUE JEANS"
100009170,F150008950,10/14/15,Male,Black,27,Thin,Braids,Medium,Unknown,"GOATEE, GRY HOODIE, BLUE JEANS"
100009171,F150008950,10/14/15,Male,Black,35,Medium,Braids,Medium,Not of Hispanic Origin,"GOATEE, BLUE/RED DO RAG, BLUE HOODY, BLUE JEANS"
100009172,F150008950,10/14/15,Male,Black,32,Medium,Short,Dark,,"BLK HOODIE, GRY SWEATPANTS"
100009173,F150008950,10/14/15,Male,Black,46,Medium,Bald,Dark,Not of Hispanic Origin,"RED HOODIE, BLUE JEANS"
100009174,F150008950,10/14/15,Male,White,41,Medium,Short,Light Brown,,"BLUE HOODIE, GRY SWEATPANTS"
100009175,F150008950,10/14/15,Male,Black,20,Heavy,Afro,Medium,,"BLK JACKET, BLUE JEANS"
100009176,F150008950,10/14/15,Male,Black,26,Medium,Braids,Dark,Unknown,"GOATEE, BLK TSHIRT, BLUE JEANS"
100009177,F150008950,10/14/15,Male,Black,33,Medium,Short,Medium,,"ONE BRAID, BLK JACKET, BLK PANTS, BLK SNKS"
100007418,F150007595,10/14/15,Male,Black,52,Thin,Short,Medium Brown,,"BLACK SWEATPANTS,GREY SWEATSHIRT"
100017224,F160015046,7/9/15,Female,Black,31,,,Light,,"WHITE TSHIRT, CAMO GREEN SHORTS"
100016375,F160014439,6/29/15,Male,Black,27,,,Medium,,"GREEN AMERICAN FLAG SS, BLUE JEANS"
100016396,F160014425,6/29/15,Male,Black,26,,,Medium,,"WHITE TSHIRT, BLK SHORTS"
100004003,F150004639,6/29/15,Male,Black,27,,,,,"RED HOODIE, BLACK PANTS"
100004004,F150004639,6/29/15,Male,Black,22,,,,,"RED HOODED SWEATSHIRT, BLACK SHORTS"
100017666,F160015322,6/29/15,Male,Black,22,Muscular,Braids,Medium,Not of Hispanic Origin,"BLACK ZIP UP, WHITE TSHIRT, BLUE JEANSDREADS"
100003018,F150003784,6/30/15,Male,Black,18,Heavy,,Brown,,BLACK TEE / BLACK ADIDAS PANTS
100003019,F150003784,6/30/15,Male,Black,19,Thin,,Brown,,BLACK ZIP UP HOODIE / GREEN SHORTS
100003409,F150004133,6/30/15,Male,Black,38,,,Medium,,"LIGHT BEARD, FACIAL HAIR, BALD HEAD, BLACK HAT, JEANS, BLACK GLASSES, BLACK LEATHER JACKET, BLACK/WHITE ADIDAS SNEAKERS"
100003057,F150003799,6/30/15,Male,White,47,Obese,,Light Brown,,"WEARING GREY T-SHIRT, JEANS SHORTS"
100016255,F160014245,6/30/15,Male,Unknown,23,,,,,"RED BLK SHIRT, GREY PANTS"
100003048,F150003794,6/30/15,Male,White,45,Thin,,Medium,,"LIGHT BEARD, TAN BROWN UNIVERSITY HAT, WHITE 3/4 SLEEVE SHIRT, BLUE JEANS, BLACK SNEAKERS,"
100003049,F150003794,6/30/15,Male,White,41,Thin,Long,Medium,,"SLICKED BACK WAVY HAIR,  WHITE SHIRT, GREEN CAMO SHORTS, SNEAKERS"
100003051,F150003802,6/30/15,Male,White,50,Medium,Short,Medium,,"WHITE HAT, WHITE TSHIRT, BLACK SHORTS"
100003052,F150003802,6/30/15,Male,White,42,Medium,Short,Medium,,"GRAY TSHIRT, BLACK SHORTS, BEARD"
100003789,F150004443,6/30/15,Male,Black,26,,,Medium,,"RED SHIRT, BLUE JEANS"
100003793,F150004445,6/30/15,Male,Black,32,Medium,,,,"LONG HAIR, LIGHT BEARD, WHITE SHIRT BLUE JEANS"
100017096,F160014901,1/3/15,Male,Black,28,,,Dark,,"GREY HAT, WHTIET, BLUE JEANS"
100012919,F160011799,1/7/15,Male,Black,17,Medium,Short,Dark Brown,,"KNOWN GANG MEMBER (BOWDOIN DIRTY HAWKS)PRIOR FIREARM ARRESTPRIOR DRUG ARRESTWEARING GRAY PUFFY JACKET, BLUE JEANS"
100004892,F150005156,1/17/15,Male,Black,20,,,Medium,Not of Hispanic Origin,"RANGERS HAT, GREEN JACKET, BLACK SWEATPANTS, BROWN BOOTS"
100011625,F150010904,1/17/15,Male,Black,30,,,Medium,,"GREY SWEATSHIRT, BLUE JEANS"
100008250,F150008269,1/17/15,Male,Black,26,Medium,,,,"GOATEE, BLUE HOODIE, GRAY KNIT HAT, GRAY HOODIE, BLUE PUFFY VEXT BLACK PANTS"
100004906,F150005179,1/17/15,Male,Black,21,Heavy,,Dark,,BLACK JACKET/ BLUE JEANS/ BLACK SNEAKERS
100013596,F160012264,1/19/15,Male,Unknown,24,Medium,Short,Light,Hispanic Origin,"YELLOW BRUINS CAP, GRY HOODIE, GRY SWEATPANTS, GRY SNKS, B+M,"
100007021,F150007205,1/20/15,Male,Black,29,Muscular,Braids,Light Brown,,LONG BRAIDS
100004413,F150004882,1/20/15,Male,Black,27,,,,,DARK
,F150008432,1/24/15,,,,,,,,
100004868,F150005151,1/24/15,Male,Black,25,,,Light,,"BRAIDS, GREEN JACKET, BROWN PANTS"
100004869,F150005151,1/24/15,Male,Black,19,,,Medium,,"BLACK WINDBREAKER, BLUE JEANS"
100003863,F150004546,1/24/15,Male,Unknown,15,,,,,
100003864,F150004546,1/24/15,Male,Unknown,16,,,,,
100003865,F150004546,1/24/15,Male,Black,15,Small,,Dark,,"TAN PANTS, GRAY JACKET"
100010231,F150009870,1/24/15,Male,Black,21,,,Light,,"BLACK JACKET, CAMO CARGO PANTS"
100007552,F150007687,1/24/15,Male,Black,19,Medium,,Medium,Hispanic Origin,"BLACK JACKET, BLUE JEANS"
100003053,F150003778,6/29/15,Male,Black,36,Medium,Short,Dark Brown,,"BLUE WITH BLACK JACKET, BLACK PANTS"
100017919,F160015547,6/29/15,Male,Black,28,,,Medium,Not of Hispanic Origin,"BLUE HOODIE, KHAKI PANTS, BLUE ADIDAS SNEAKERS"
100004714,F150005122,6/29/15,Male,Black,18,,,Dark,,GREEN SHIRT/ JEANS
100017226,F160014992,6/29/15,Male,Black,27,,,Black,,"BLUE HAT, WHITE AND BLUE JEANS"
100017920,F160015548,6/29/15,Male,Black,25,Medium,,Dark,Not of Hispanic Origin,"DREADLOCKSBLACK TSHIRT, BLUE JEANS"
100003016,F150003775,6/29/15,Male,Black,20,Thin,,Light,,"GREY JEANS, RED SWEATER, RED ""CHICAGO BULLS"" HAT.  RIDING A BLACK BICYCLE."
100003178,F150003926,6/29/15,Male,Black,26,Medium,,Medium,,"RED/BLACK SNEAKERS, BLUE JEANS, BLASCK SWEATER, BLACK CAP"
100003176,F150003927,6/29/15,Male,Black,37,Medium,Braids,Dark Brown,,"BLACK SNEAKERS, BLUE JEANS, BLUE T-SHIRT, DOO RAG"
100003075,F150003844,6/30/15,Male,Unknown,22,Thin,Curly,Medium,,"BLACK SHIRT, BLUE JEANS, WHITE SNEAKERS"
100003716,F150004387,6/30/15,Male,Black,18,,,,,"BLACK SWEATSHIRT ""88"", BLACK PANTS, BLACK SANDALS"
100003717,F150004387,6/30/15,Male,Black,19,,,,,"BLACK/WHIE HOODIE, BLACK JEANS"
100003031,F150003795,6/30/15,Male,White,27,Stocky,Short,Light,,"BROWN SHIRT, JEANS"
100003056,F150003798,6/30/15,Male,White,27,Medium,Short,Medium,Not of Hispanic Origin,"GRAY T SHIRT, DARK PANTS"
100016673,F160014268,6/30/15,Male,Unknown,23,,,,,"BLUE BALL CAP, BLK THIN TOP, BLUE JEANS"
100015505,F160013721,6/30/15,Male,Black,23,,,,,"BLK VEST, WHTE TSHIRT, BLUE JEANS"
100016018,F160013953,6/30/15,Male,White,21,,,,,"BLK TSHIRT, BLK BLUE SHORTS"
100012499,F160011539,1/1/15,Male,Black,21,Thin,Short,Medium Brown,,"BLACK JACKET, BLACK SWEATS"
100004896,F150005160,1/17/15,Male,Black,18,,,Light,,"SILVER COLORED BRACES, BLUE HOODIE, BLACK PANTS"
100017600,F160015281,1/17/15,Male,Unknown,17,Thin,Afro,Light Brown,Hispanic Origin,"HIGH TOP AFRO-FADEBLACK JACKET BLUE JEANS"
100004894,F150005158,1/17/15,Male,Black,21,,,Medium,,"BLACK JACKET, BLACK JEANS"
100004893,F150005157,1/17/15,Male,Black,20,,,Dark,,"POLO HAT, BLACK COAT, BLUE JEANS, PURPLE SNEAKERS"
100004895,F150005159,1/18/15,Male,Black,35,,,Medium,,"BLACK HAT, BLACK JACKET, BLUE JEANS"
100003756,F150004422,1/20/15,Male,Unknown,20,,,Medium,,
100003755,F150004420,1/20/15,Male,Black,16,,,,,"BLACK PUFFY COAT, BROWN PANTS"
100003849,F150004532,1/20/15,Male,Black,21,,,Medium,Not of Hispanic Origin,"BLUE JEANS, WHITE T-SHIRT"
100013879,F160012321,1/21/15,Female,White,18,Small,Long,Light,Hispanic Origin,"GRAY JACKET, BLACK JEANS, BLACK SNEAKERS"
100006981,F150007097,1/23/15,Male,Black,18,Thin,,,,"BLUE JACKET WITH ORANGE STRIPES, BLUE JEANS"
100003851,F150004534,1/24/15,Male,White,38,Small,,Light,,"BLUE HOODIE, DIRTY BLUE JEANS"
,F150004408,1/24/15,,,,,,,,
100003754,F150004409,1/24/15,Male,White,21,,,Medium,,"BLACK HOODIE, BLUE JEANS"
100003774,F150004390,1/24/15,Male,Black,28,,,Medium,,GRAY HOODIE/ BLUE JEANS
100013797,F160012420,1/24/15,Male,Black,16,,,Medium,,"BLK HOODIE, BLK SWEATPANTS"
100004447,F150004928,1/24/15,Male,Black,44,Heavy,,Medium,Not of Hispanic Origin,BLACK JACKET/ BLUE JEANS
100004448,F150004931,1/24/15,Male,White,40,Small,,Light,Hispanic Origin,GRAY POLO SWEATER/ BLUE CARGO PANTS
100015521,F160013720,6/30/15,Male,Black,36,,,,,"TATTOOS BOTH ARMS, WHITE SNEAKERS, BLK SHORTS"
100003380,F150004111,6/30/15,Male,Black,43,,,Medium,,"B/W STRIPED SHIRT, NAVY BLUE CARGO PANTS, WHITE SWEATER"
100003073,F150003828,6/30/15,Male,Black,32,,,,Not of Hispanic Origin,
100008276,F150003811,6/30/15,Male,White,17,Medium,,Light Brown,,"WHITE T-SHIRT, KAKHI PANTS"
100003238,F150003837,7/1/15,Male,White,32,Medium,Short,Light,,"BLUE BACKWARDS RED SOX HAT, BLACK T-SHIRT, DARK CARGO PANTS, DARK CONSTRUCTION BOOTS"
100003239,F150003837,7/1/15,Female,White,30,,,,,"AQUA STRIPED SHIRT, BLUE PANTS, BLUE SANDALS"
100003240,F150003837,7/1/15,Male,White,23,,,,,WEARING SUNGLASSES
100003180,F150003813,7/1/15,Male,Black,37,Medium,,Medium Brown,Not of Hispanic Origin,"GREY TSHIRT, TWO PAIRS OF GREY SHORTS, ONE PAIR OF BLUE SHORTS, BLUE AND GREY SNEAKERS"
100003090,F150003849,7/1/15,Male,White,37,Medium,Short,,Not of Hispanic Origin,"GREEN SHORTS, GRAY HOODY"
100003089,F150003850,7/1/15,Male,White,50,Medium,Short,,,"PINK SHIRT, BLUE JEANS, LIGHT GRAY BEARD"
100003217,F150003842,7/1/15,Male,White,43,Heavy,Straight,Light,,"GREY/BLUE PLAID BUTTON DOWN SHIRT, BLUE JEANS, WHITE SNEAKERS"
100003765,F150004447,7/1/15,Male,Black,18,,,,,"ON BLUE AND BLACK BICYCLE, BLUE SHIRT AND BLACK SHORTS"
100003072,F150003830,7/1/15,Male,Black,24,Medium,,Light,Unknown,"WHITE T-SHIRT, GREY SWEATPANTS, BLACK SHOES, CARRYING A RED SWEATSHIRT"
100014989,F160013259,7/1/15,Male,Black,16,Stocky,,,,BLACK HOODIE
100014990,F160013259,7/1/15,Male,Black,20,,,,,
100012793,F160011721,7/1/15,Male,Black,24,Thin,,Medium Brown,Not of Hispanic Origin,"WHITE TSHIRT, SHORTS"
100003794,F150004445,6/30/15,Female,Black,31,Small,,Medium Brown,Not of Hispanic Origin,"RED AND BLUE SHIRT, BLUE PANTS"
100003795,F150004445,6/30/15,Male,Black,26,,,Medium,,
100015871,F160013967,6/30/15,Male,Black,,,Bald,Medium,,"GOATEE, GREY BLK NIKE SHIRT, GREY SHORTS"
100004213,F150004661,6/30/15,Male,Black,22,,,,,** HOMES AVE
100004214,F150004661,6/30/15,Male,Unknown,20,,,,,**VNF
100016999,F160014717,6/30/15,Male,White,30,,,Other,,"GREY SWEATSHIRT, GREY"
100017945,F160015535,6/30/15,Male,Black,42,Medium,,Medium,Not of Hispanic Origin,"WHITE SHIRT, RED SHORTS"
100003059,F150003810,6/30/15,Male,White,38,Medium,Straight,Light,,"BLUE T SHIRT, BLUE JEANS, WHITE SNEAKERS"
100003060,F150003810,6/30/15,Male,Black,35,Medium,Bald,Medium,,"DARK GREEN T SHIRT, BLUE JEANS, BLACK SNEAKERS"
100003068,F150003824,7/1/15,Male,Black,,Thin,Short,Light Brown,,
100003158,F150003814,7/1/15,Male,Unknown,23,Thin,Short,,,"WHITE TANK TOP, GOLD CHAIN, BLACK JEANS, WHITE SNEAKERS"
100003159,F150003814,7/1/15,Male,Black,24,Heavy,Short,,,"UTAH JAZZ BASEBALL HAT, GOLD COLORED GRILL (JEWELRY FOR TEETH), WHITE T-SHIRT, BLUE JEANS, WHITE SNEAKERS"
100003160,F150003814,7/1/15,Male,Black,24,Medium,Short,,,"BLUE T-SHIRT, BLUE JEANS, WHITE SNEAKERS"
100003161,F150003814,7/1/15,Male,Unknown,21,Thin,Short,,,"BLUE BASEBALL HAT, WHITE LONG SLEEVE T-SHIRT WITH LOGO ON FRONT, BLUE JEANS, WHITE SNEAKERS"
100003121,F150003819,7/1/15,Male,Black,23,Medium,Braids,Medium Brown,,"DARK BLUE T-SHIRT, BLACK JEANS, MEDIUM LENGTH BRAIDS"
100016294,F160014347,7/1/15,Male,Black,18,Medium,,Medium Brown,Not of Hispanic Origin,"ON BLUE/BLACK BICYCLEBLUE SHIRT, BLACK SHORTS"
100017160,F160014986,1/24/15,Male,Black,26,,,Medium,,GRAY HOODIE; BLACK JACKET; BLUE JEANS
100017202,F160015022,1/25/15,Female,White,28,,,,Not of Hispanic Origin,"GREY HOODIE, GREY SWEATS"
100004352,F150004819,1/25/15,Male,Black,30,Medium,,Medium,,"BLUE KNIT HAT, CAMO PANTS, BROWN BOOTS, BLUE PUFFY VEST, BLUE SWEATER W/ BEAR"
100004732,F150005127,2/19/15,Male,Black,24,,,Medium,Not of Hispanic Origin,BLACK HOODIE/ BLUE JEANS
100004353,F150004821,2/23/15,Male,Asian,31,,,Medium,,
100004354,F150004821,2/23/15,Unknown,Unknown,,,,,,
100009550,F150009369,2/28/15,Male,Black,31,Medium,,Medium Brown,,"BLACK SWEATSHIRT, BLUE JEANS"
100003729,F150004392,3/1/15,Male,Black,,,,Medium,,"BLK HOODIE, BLUE JEANS"
100003730,F150004392,3/1/15,Male,Unknown,,,,,,
100004835,F150005229,3/1/15,Male,Black,,,,Medium,,"BRAIDS, TATTOOS, BLACK HOODIE, BLUE JEANS"
100003701,F150004376,3/2/15,Male,Black,18,,,,,"BK JACKET W/HOOD, BLUE JEANS"
100006984,F150007111,3/2/15,Male,Black,18,Small,,Medium,Not of Hispanic Origin,"THIN MUSTACHE BLACK JACKET WITH HOOD, BLUE JEANS"
100004834,F150005226,3/2/15,Male,White,32,,,,,
100003871,F150004554,3/2/15,Male,Black,22,Small,,Medium Brown,,
100004522,F150004984,3/2/15,Male,Black,32,,,Medium,,BLACK AND TAN JACKET/ GRAY HOODIE/ GRAY KNIT CAP
100016650,F160014295,3/2/15,Male,Black,30,,,Medium,,"BRN JACKET, BLUE JEANS"
100003732,F150004394,3/2/15,Male,Black,24,,,,,"BLACK KNIT HAT, BLACK HOODIE, BLACK JEANS, BLUE ADIDAS"
100016553,F160014568,3/5/15,Male,Black,34,,,Medium,,"BLK SHIRT, BLUE SHORTS, BLK SNEAKERS"
100011774,F150011007,7/1/15,Male,Black,24,Medium,,Light Brown,,WHITE TSHIRT
100004758,F150004744,7/1/15,Male,Unknown,15,,,Medium,,"BLK SHIRT, BLK SHORTS, BLK SNEAKERS"
100016872,F160014806,7/1/15,Male,Unknown,27,,,,Hispanic Origin,
100016874,F160014806,7/1/15,Male,Black,29,,,,,
100003381,F150004108,7/1/15,Male,Black,27,,,Medium,,"BLUE SHIRT, BLUE JEANS"
100003382,F150004108,7/1/15,Male,Black,26,,,,,"BLACK T-SHIRT, BLACK HAT, BLUE JEANS"
100003383,F150004108,7/1/15,Male,Black,19,,,,,"STARTS&STRIPES T-SHIRT, BLACK SHORTS"
100003384,F150004108,7/1/15,Male,Black,25,,,,,"WHITE HAT, BLUE HOODIE, BLACK SWEATS"
100003385,F150004108,7/1/15,Male,White,27,,,,Hispanic Origin,"POLO SHIRT, BLACK SWEATPANTS, NIKE SNEAKERS"
100003386,F150004108,7/1/15,Male,Black,32,,,,,"BLACK T-SHIRT, BLACK SWEATS"
100003387,F150004108,7/1/15,Male,Black,25,,,Light,,"BLUE POLO SHIRT, TAN SHORTS, WHITE SNEAKERS"
100003388,F150004108,7/1/15,Male,Black,25,,,Light,,RED POLO/ BLACK SWEAT PANTS
100003902,F150004588,7/2/15,Male,Black,25,,,Dark,,"BLACK TSHIRT, BLUE JEANS"
100003903,F150004588,7/2/15,Male,Black,23,,,Dark,,"LIGHT GOATEE, RED ""W"" BASEBALL JERSEY, BLUE JEANS, RED SNEAKERS"
100003904,F150004588,7/2/15,Male,Black,27,,,Dark,,"GRAY T, BLUE JEANS"
100003905,F150004588,7/2/15,Male,Unknown,23,,,,,
100003074,F150003843,7/2/15,Male,Unknown,33,Medium,Bald,Light,,"WHITE TEE, GREY SWEAT PANTS"
100003093,F150003856,7/2/15,Male,Black,21,Medium,Braids,Brown,,"WHITE T SHIRT, GRAY SWEATPANTS, WHITE SNEAKERS"
100003091,F150003853,7/2/15,Male,White,23,Heavy,Short,,Not of Hispanic Origin,"TAN SHORTS, GRAY T SHIRT, GRAY FLIP FLOPS"
100017329,F160015065,1/25/15,Female,Black,21,,,Medium,,"BLACK JACKET, BLUE JEANS"
100017028,F160014836,1/25/15,Male,Black,37,Medium,,Dark Brown,,"BROWN HAT, BROWN JACKET, BLUE JEANS"
100017334,F160015072,1/25/15,Male,Black,30,,,Medium,,BROWN SUIT
100003728,F150004391,1/25/15,Male,Black,25,,,,,
100016397,F160014428,1/25/15,Male,Unknown,16,,,,Hispanic Origin,"BLK COAT, RED HOODIE, BLUE JEANS, RED GEORGIA BALL HAT, L ARM TATTOO LOYALTY"
100006977,F150007135,1/28/15,Female,Black,34,Small,,Light Brown,,"BRACES ON FRONT TEETHGREY FLEECE"
100003681,F150004256,2/2/15,Male,Black,27,Heavy,,Dark,Not of Hispanic Origin,
100003682,F150004256,2/2/15,Female,Unknown,,,,,,
100003683,F150004256,2/2/15,Male,Unknown,,,,,,
100003684,F150004256,2/2/15,Male,Unknown,,,,,,
100004718,F150005124,2/19/15,Female,Black,25,Small,,Dark Brown,,MULTI-COLORED JACKET/ DARK PANTS
100003749,F150004401,2/23/15,Male,Black,18,,,Brown,,BLK GRAY HOODY/ BLUE JACKET ORANGE STRIPE/ BLUE JEANS
100003750,F150004401,2/23/15,Male,Unknown,,,,,,
100003030,F150003770,2/23/15,Male,Black,27,,,Dark,Not of Hispanic Origin,"BLACK HAT, COAT, JEANS"
,F150008194,2/25/15,,,,,,,,
100004665,F150005117,2/25/15,Male,White,21,Small,,Light,Hispanic Origin,BLACK HAT/ BLACK JACKET
100015674,F160013797,2/25/15,Male,Black,17,,,Medium,,BLACK/GRAY JACKET; DARK JEANS
100004838,F150005222,2/27/15,Male,White,33,,,Medium,,"FADED BEARD, SHAVED HEAD"
100003724,F150004386,3/2/15,Male,Black,29,,,Medium,,"BK SHIRT, BLUE JEANS"
100003725,F150004386,3/2/15,Male,Unknown,,,,,,
100003389,F150004112,7/1/15,Male,Black,64,,,Medium,,
100003070,F150003832,7/1/15,Female,Unknown,21,Medium,,,Hispanic Origin,"BLACK SHIRT, GREY PANTS, FLIP FLOPS"
100004008,F150004641,7/1/15,Male,Black,27,,,Medium,,"WHITE T-SHIRT, GRAY SWEATPANTS"
100004009,F150004641,7/1/15,Male,Black,27,,,Medium,,"BLACK SHIRT, BLACK PANTS"
100004010,F150004641,7/1/15,Male,Black,26,,,Medium,,"BEARD, BLACK TSHIRT, BLUE JEANS"
100017866,F160015492,7/1/15,Male,Black,28,Medium,,Light,Unknown,"CAPE VERDEANBLUE SHIRT"
100003079,F150003845,7/2/15,Male,White,19,Thin,Short,Light,,"BLUE JEANS, PLAD BUTTON DOWN SHIRT."
100003077,F150003847,7/2/15,Female,White,36,Thin,Straight,Light,,"BLACK AND WHITE T SHIRT, BLUE JEANS, BLACK SNEAKERS, BLACK PURSE"
100003094,F150003869,7/2/15,Male,White,40,,,,,"T-SHIRT WITH PAINT ON IT, BLUE JEANS COVERED IN PAINT, GRAY BASEBALL HAT"
100003087,F150003868,7/2/15,Female,White,21,Medium,,,,
100003128,F150003890,7/2/15,Male,Black,,Average,,Dark Brown,,"BOONIE HAT, T SHIRT, JEANS, BLACK BACKPACK"
